name,street,suburb,state,postcode,latitude,longitude
ALDI Amaroo,12 Pioneer Street,Amaroo,Australian Capital Territory,2914,-35.16533714897931,149.13197717715352
ALDI Belconnen,"Cnr Benjamin Way, Cohen Street",Belconnen,Australian Capital Territory,2617,-35.2381850378627,149.06407004526426
ALDI Canberra CBD,148 Bunda Street,Canberra CBD,Australian Capital Territory,2601,-35.27913433323691,149.13399275969905
ALDI Casey,15 Kingsland Parade,Casey,Australian Capital Territory,2913,-35.17491001802421,149.09557487446745
ALDI Chisholm,36 Benham Street,Chisholm,Australian Capital Territory,2905,-35.41488899063587,149.1293881400122
ALDI Conder,9 Sidney Nolan Street,Conder,Australian Capital Territory,2906,-35.45671831362396,149.09370632644138
ALDI Gungahlin Marketplace,33 Hibberson Street,Gungahlin Marketplace,Australian Capital Territory,2912,-35.18525044991492,149.13412722944776
ALDI Holt,50 - 60 Hardwick Crescent,Holt,Australian Capital Territory,2615,-35.22124631291976,149.01939129772612
ALDI Macquarie,1 Bowman Street,Macquarie,Australian Capital Territory,2614,-35.253122796591455,149.0720248278404
ALDI Majura Park,18 - 26 Spitfire Avenue,Majura Park,Australian Capital Territory,2609,-35.29916896437487,149.19089034111096
ALDI Tuggeranong,"Cnr Anketell Street, Soward Way",Tuggeranong,Australian Capital Territory,2900,-35.41768662002347,149.06867886566312
ALDI Weston,"Cnr Cooleman Court, Brierly Street",Weston,Australian Capital Territory,2611,-35.341093574472204,149.05259024132755
ALDI Albion Park Rail,10 Ash Avenue,Albion Park Rail,New South Wales,2527,-34.5708864517263,150.80059366332665
ALDI Albury,617 - 621 Young Street,Albury,New South Wales,2640,-36.07601138176162,146.9246238675685
ALDI Ambarvale,45 Woodhouse Drive,Ambarvale,New South Wales,2560,-34.0853743118726,150.8009268343427
ALDI Armidale,95 Barney Street,Armidale,New South Wales,2350,-30.517472933509467,151.66947789802387
ALDI Arndell Park,"Cnr Holbeche Road, Walters Road",Arndell Park,New South Wales,2148,-33.789227659918296,150.88994987714196
ALDI Ashfield,260 A Liverpool Road,Ashfield,New South Wales,2131,-33.88905582268505,151.12331800971683
ALDI Auburn,"Cnr Queen St, Harrow Rd",Auburn,New South Wales,2144,-33.8506237,151.0320102
ALDI Balgowlah,22 - 26 Roseberry Street,Balgowlah,New South Wales,2093,-33.788207353865815,151.26818880890457
ALDI Ballina,2 North Creek Road,Ballina,New South Wales,2478,-28.850235663319612,153.55413338659002
ALDI Bankstown,440 - 450 Chapel Road,Bankstown,New South Wales,2200,-33.91373072954004,151.03401262577762
ALDI Bankstown,"Cnr Henry Lawson Road, Milperra Road",Bankstown,New South Wales,2200,-33.92822347852127,150.9811903402541
ALDI Bass Hill,753 Hume Highway,Bass Hill,New South Wales,2197,-33.899697935668264,150.99328069537802
ALDI Bateau Bay,12 / M01 Bay Village Road,Bateau Bay,New South Wales,2261,-33.37550092526942,151.47253745377643
ALDI Batemans Bay,"Cnr Vesper Street, Beach Road",Batemans Bay,New South Wales,2536,-35.70662262059528,150.1757019256714
ALDI Bathurst,128 Russell Street,Bathurst,New South Wales,2795,-33.42029930532308,149.58002785674736
ALDI Baulkham Hills,"Cnr Olive Street, Old Northern Road",Baulkham Hills,New South Wales,2153,-33.758605395850914,150.99149362716372
ALDI Belmont,"Cnr Pacific Highway, Maude Street",Belmont,New South Wales,2280,-33.03391189181824,151.66069236501235
ALDI Belrose,56 - 58 Glen Street,Belrose,New South Wales,2085,-33.7388537,151.210396
ALDI Blacktown,17 Patrick Street,Blacktown,New South Wales,2148,-33.7696952,150.9045178
ALDI Blair Athol,"Cnr Blaxland Road, The Kraal Drive",Blair Athol,New South Wales,2560,-34.06325791681787,150.80703686322937
ALDI Blue Haven,"Cnr Blue Haven Road, Roper Road",Blue Haven,New South Wales,2262,-33.20649191419877,151.4983420524057
ALDI Bomaderry,54 Narang Rd,Bomaderry,New South Wales,2541,-34.8453187989933,150.59405267368632
ALDI Bondi Junction,71 - 91 / Spring Street,Bondi Junction,New South Wales,2022,-33.892926171389966,151.24802532176824
ALDI Bonnyrigg,718 Cabramatta Road,Bonnyrigg,New South Wales,2177,-33.89340819192917,150.8900987803219
ALDI Bowral,5-11 Banyette Street,Bowral,New South Wales,2576,-34.48201296156397,150.4157942163538
ALDI Box Hill,"Cnr Windsor Rd, Mount Carmel Dr",Box Hill,New South Wales,2765,-33.65896767634362,150.87988632919502
ALDI Broadway,1 Bay Street,Broadway,New South Wales,2007,-33.88409812479245,151.19478082050415
ALDI Brookvale,3 - 5 Cross Street,Brookvale,New South Wales,2100,-33.76637598797827,151.26728879551115
ALDI Byron Bay,"Cnr Byron Street, Fletcher Street",Byron Bay,New South Wales,2481,-28.643214712009595,153.61282894354258
ALDI Campbelltown,200 Gilchrist Drive,Campbelltown,New South Wales,2560,-34.076607189871986,150.79835871207374
ALDI Campbelltown,271 Queen Street,Campbelltown,New South Wales,2560,-34.06907369529932,150.81052826067426
ALDI Canterbury,73 Jeffrey Street,Canterbury,New South Wales,2193,-33.9106467918808,151.1200138534139
ALDI Cardiff,49 Harrison Street,Cardiff,New South Wales,2285,-32.94090072672528,151.65967212883604
ALDI Carlton,76 Edward Street,Carlton,New South Wales,2218,-33.976949335616226,151.12437850119701
ALDI Carnes Hill,20 Main Street,Carnes Hill,New South Wales,2171,-33.939006454918655,150.84473291791966
ALDI Casino,139 Centre Street,Casino,New South Wales,2470,-28.865748949439354,153.0457610550498
ALDI Castle Hill,6 - 14 / S Castle Street,Castle Hill,New South Wales,2154,-33.73025039983194,151.00598930281564
ALDI Casula,1 Ingham Drive,Casula,New South Wales,2170,-33.94839976362674,150.90003029632985
ALDI Cessnock,165 - 167 Wollombi Road,Cessnock,New South Wales,2325,-32.8342033744877,151.35155736661685
ALDI Charlestown,30 Pearson Street,Charlestown,New South Wales,2290,-32.9640699,151.6938434
ALDI Chatswood,1 Anderson Street,Chatswood,New South Wales,2067,-33.796961847442006,151.1836170828207
ALDI Chatswood Place,256 - 260 Victoria Avenue,Chatswood Place,New South Wales,2067,-33.79539284305662,151.18826366702098
ALDI Chullora,355 - 357 Waterloo Road,Chullora,New South Wales,2190,-33.89371453280208,151.06137520147306
ALDI Cobbitty,3 Kakadu Street,Cobbitty,New South Wales,2570,-33.9947691,150.7242643
ALDI Coffs Harbour,253 Pacific Highway,Coffs Harbour,New South Wales,2450,-30.283520445787445,153.12952709402228
ALDI Cooma,18 Hilton Street,Cooma,New South Wales,2630,-36.230886590153155,149.1348174441803
ALDI Corrimal,"Cnr Russell Street, Underwood Street",Corrimal,New South Wales,2518,-34.371483262617105,150.89605746210074
ALDI Cowra,"Cnr Fitzroy Street, Railway Lane",Cowra,New South Wales,2794,-33.836743981833116,148.6964033492768
ALDI Cranebrook,80 - 98 Borrowdale Way,Cranebrook,New South Wales,2749,-33.72002138721829,150.71060934026914
ALDI Dapto,38 Osborne Street,Dapto,New South Wales,2530,-34.493358101223166,150.7941681411045
ALDI Darlinghurst,"Cnr Oxford Street, Pelican Street",Darlinghurst,New South Wales,2010,-33.8780113,151.2137304
ALDI Dee Why,15 - 19 Pacific Parade,Dee Why,New South Wales,2099,-33.7552152,151.2838675
ALDI Drummoyne,19 A Roseby Street,Drummoyne,New South Wales,2047,-33.85581660389572,151.16267909655758
ALDI Dubbo,176 Talbragar Street,Dubbo,New South Wales,2830,-32.24578814049935,148.61234984596328
ALDI Dural,22 Allen Way,Dural,New South Wales,2158,-33.693008111412205,151.01864739460942
ALDI East Maitland,18 - 20 Garnett Road,East Maitland,New South Wales,2323,-32.761113166182675,151.58815681485186
ALDI Eastgardens,152 Bunnerong Road,Eastgardens,New South Wales,2036,-33.9444258,151.2231317
ALDI Eastlakes,16D Evans Ave,Eastlakes,New South Wales,2018,-33.924417559378405,151.2119557309344
ALDI Edgecliff,203 - 233 New South Head Road,Edgecliff,New South Wales,2024,-33.8790789939343,151.23559147827072
ALDI Edgeworth,57 Thomas Street,Edgeworth,New South Wales,2285,-32.92511572163856,151.6261755742224
ALDI Edmondson Park,1952-1982 Camden Valley Way,Edmondson Park,New South Wales,2174,-33.95434222447977,150.85824574085115
ALDI Emerald Hills,5 Emerald Hills Boulevarde,Emerald Hills,New South Wales,2179,-33.99639913226753,150.7924955724562
ALDI Emu Plains,"Cnr Great Western Highway, Pyramid Street",Emu Plains,New South Wales,2750,-33.75236200600817,150.65915550743483
ALDI Engadine,101 / 15 Caldarra Avenue,Engadine,New South Wales,2233,-34.06560369480776,151.0141479865082
ALDI Erina,620 - 658 Terrigal Drive,Erina,New South Wales,2250,-33.43505962918898,151.39190521043335
ALDI Erskine Park,"Cnr Peppertree Drive, Swallow Drive",Erskine Park,New South Wales,2759,-33.803911128158376,150.80498578263294
ALDI Fairfield,8 - 36 Station Street,Fairfield,New South Wales,2165,-33.867614536160545,150.95272226432806
ALDI Fairfield West,370 Hamilton Road,Fairfield West,New South Wales,2165,-33.86858263297094,150.92316459170794
ALDI Fairy Meadow,102 - 110 Princess Highway,Fairy Meadow,New South Wales,2519,-34.393696473413,150.89327710737496
ALDI Fletcher,"Cnr Minmi Road, Britannia Street",Fletcher,New South Wales,2287,-32.87622516026928,151.63965550566496
ALDI Forster,3 - 17 Breese Parade,Forster,New South Wales,2428,-32.19949474770224,152.51946109141903
ALDI Frenchs Forest,"Cnr Forest Way, Warringah Road",Frenchs Forest,New South Wales,2086,-33.74988246471832,151.22393671307526
ALDI Galston,346 Galston Road,Galston,New South Wales,2159,-33.65267351041866,151.04660284743574
ALDI Gladesville,413 - 417 Victoria Road,Gladesville,New South Wales,2111,-33.82368336936035,151.12408602113345
ALDI Glenfield Park,"Cnr Tanda Place, Pinaroo Drive",Glenfield Park,New South Wales,2650,-35.13710149621356,147.33387391138663
ALDI Glenmore Park,1 Town Terrace,Glenmore Park,New South Wales,2745,-33.78745650037261,150.6686459271512
ALDI Goonellabah,15 Simeoni Drive,Goonellabah,New South Wales,2480,-28.821123300709,153.32702798465422
ALDI Goulburn,9 - 13 Clinton Lane,Goulburn,New South Wales,2580,-34.75778152444265,149.716586182209
ALDI Grafton,163 - 169 Prince Street,Grafton,New South Wales,2460,-29.686539053407813,152.93653594723875
ALDI Green Point,"Cnr Avoca Drive, Bayside Drive",Green Point,New South Wales,2251,-33.45167596312207,151.36018130614679
ALDI Gregory Hills,33 Village Circuit,Gregory Hills,New South Wales,2557,-34.02522274958597,150.7765624632497
ALDI Griffith,4 - 6 Oakes Road,Griffith,New South Wales,2680,-34.3013381,146.0753789
ALDI Guildford,280 - 290 Woodville Road,Guildford,New South Wales,2161,-33.84949115870432,150.99655223313522
ALDI Gunnedah,185 Conadilly Street,Gunnedah,New South Wales,2380,-30.977633219575534,150.25237118918886
ALDI Hamilton,11 Swan Street,Hamilton,New South Wales,2303,-32.9188221073794,151.7461439009006
ALDI Hillsdale,238 - 262 Bunnerong Road,Hillsdale,New South Wales,2036,-33.9518838639907,151.23104108981173
ALDI Hornsby,236 Pacific Highway,Hornsby,New South Wales,2077,-33.70463434207999,151.09961551595592
ALDI Hoxton Park,501 Cowpasture Road,Hoxton Park,New South Wales,2171,-33.918668740447835,150.8549682975237
ALDI Hurstville,"A1 Cross Street, Park Road",Hurstville,New South Wales,2220,-33.96624819978723,151.1059573615158
ALDI Jerrabomberra,9 Ferdinand Lane,Jerrabomberra,New South Wales,2619,-35.3796128,149.1979395
ALDI Jesmond,28 Blue Gum Road,Jesmond,New South Wales,2299,-32.9028997288659,151.68943631379236
ALDI Katoomba,"Cnr Waratah Street, Katoomba Street",Katoomba,New South Wales,2780,-33.71739283121868,150.3104175910436
ALDI Kellyville,92 Wrights Road,Kellyville,New South Wales,2155,-33.71386777330012,150.97302529264238
ALDI Kempsey,15 - 33 Belgrave Street,Kempsey,New South Wales,2440,-31.080129989445474,152.83988669270056
ALDI Kirrawee,580 Princes Highway,Kirrawee,New South Wales,2232,-34.03261193402822,151.0737615820178
ALDI Kogarah,1 / G1 Railway Parade,Kogarah,New South Wales,2217,-33.96208867438926,151.13262546700452
ALDI Kotara,30 Northcott Drive,Kotara,New South Wales,2289,-32.93995618406571,151.7088293732499
ALDI Kurri Kurri,106 -112 Barton Street,Kurri Kurri,New South Wales,2327,-32.819166290705574,151.48276642335443
ALDI Lake Haven,Cnr Lakehaven Drive,Lake Haven,New South Wales,2263,-33.24025799334544,151.5039048357513
ALDI Lakemba,212 - 226 Haldon Street,Lakemba,New South Wales,2195,-33.92455400328398,151.07943885594835
ALDI Lane Cove,2 Rosenthal Avenue,Lane Cove,New South Wales,2066,-33.8136415477472,151.16921405627158
ALDI Lavington,385 - 387 Wagga Road,Lavington,New South Wales,2641,-36.047042540951765,146.9394687371396
ALDI Leeton,1 Acacia Avenue,Leeton,New South Wales,2705,-34.551827780021405,146.397564098944
ALDI Leichhardt,"Shop 21A Marion Street, Flood Street",Leichhardt,New South Wales,2040,-33.88366278027871,151.1556364583012
ALDI Lidcombe,92 Parramatta Road,Lidcombe,New South Wales,2141,-33.849343555176524,151.04878145706044
ALDI Lismore,44 Ballina Road,Lismore,New South Wales,2480,-28.813614402885396,153.27927895152052
ALDI Lithgow,2 Valley Drive,Lithgow,New South Wales,2790,-33.48840716739525,150.15301406107872
